clientId,orderdate,recency,gender,水,牛奶,香蕉,frequency
102,2017/3/4,38,男性,3,1,0,3
103,2017/3/17,25,女性,2,1,0,5
104,2017/4/7,4,女性,3,2,0,2
105,2017/3/27,15,男性,6,0,0,4
106,2017/3/8,34,男性,4,1,2,7
107,2017/3/18,24,女性,4,0,0,2
108,2017/4/9,2,男性,8,3,0,6
109,2017/2/11,59,女性,2,3,1,1
110,2017/2/28,42,男性,3,1,0,3
111,2017/2/9,61,女性,5,0,0,2
112,2017/3/20,22,女性,3,7,3,4
113,2017/3/27,15,男性,2,1,1,4
115,2017/2/25,45,男性,4,0,0,6
116,2017/4/1,10,女性,4,6,1,6
117,2017/4/4,7,男性,2,2,1,5
118,2017/2/5,65,女性,1,0,0,4
119,2017/4/8,3,男性,2,2,1,6
120,2017/1/25,76,女性,0,1,0,3
121,2017/2/26,44,女性,2,1,0,2
122,2017/4/3,8,男性,4,0,0,3
123,2017/4/10,1,女性,4,1,2,5
124,2017/3/7,35,男性,3,3,1,4
125,2017/1/12,89,男性,1,0,2,1
126,2017/4/5,6,男性,1,0,0,3
127,2017/3/17,25,男性,4,0,1,2
129,2017/3/18,24,女性,2,1,1,3
130,2017/2/19,51,男性,4,3,0,4
131,2017/1/12,89,男性,3,1,0,1
132,2017/4/9,2,男性,0,2,3,2
133,2017/3/8,34,男性,3,1,0,5
134,2017/3/18,24,男性,2,0,1,1
135,2017/1/17,84,女性,0,4,0,2
136,2017/3/29,13,男性,2,2,2,3
137,2017/4/10,1,男性,2,2,0,2
138,2017/3/30,12,女性,4,0,1,3
139,2017/3/3,39,女性,1,0,1,5
140,2017/3/25,17,女性,3,1,1,1
141,2017/4/7,4,女性,3,0,1,5
142,2017/3/23,19,女性,1,2,0,3
143,2017/4/11,0,女性,4,1,1,2
144,2017/2/16,54,女性,5,0,0,2
145,2017/4/3,8,女性,3,0,0,1
146,2017/2/4,66,女性,2,0,0,4
147,2017/4/11,0,男性,2,1,2,9
148,2017/3/5,37,女性,3,2,1,5
149,2017/2/5,65,女性,1,1,1,1
150,2017/3/4,38,男性,2,1,0,3
151,2017/3/26,16,女性,1,0,2,2
152,2017/3/21,21,男性,5,1,1,2
153,2017/4/4,7,男性,2,0,1,6
154,2017/2/19,51,女性,3,3,0,1
156,2017/3/21,21,女性,5,2,1,5
157,2017/4/5,6,女性,0,1,0,3
159,2017/4/8,3,男性,1,0,3,5
160,2017/4/11,0,女性,5,1,1,4
161,2017/3/13,29,女性,3,4,0,3
162,2017/2/13,57,女性,5,2,1,2
163,2017/3/26,16,女性,3,0,1,4
164,2017/4/8,3,女性,2,0,1,3
165,2017/3/26,16,女性,4,3,2,4
166,2017/4/7,4,男性,3,1,2,2
167,2017/4/8,3,女性,2,0,0,5
168,2017/2/15,55,女性,1,0,1,3
169,2017/2/3,67,男性,3,2,0,3
170,2017/4/6,5,女性,3,1,1,5
171,2017/4/4,7,女性,3,2,0,8
172,2017/3/30,12,女性,1,3,0,5
173,2017/4/7,4,男性,3,0,1,2
174,2017/4/8,3,女性,5,1,1,5
175,2017/4/8,3,女性,1,3,1,3
176,2017/3/24,18,男性,2,1,1,4
177,2017/3/28,14,女性,1,5,0,4
178,2017/1/28,73,男性,2,2,1,1
179,2017/1/27,74,男性,2,0,0,1
180,2017/1/16,85,女性,2,5,0,1
181,2017/3/31,11,男性,3,2,0,1
182,2017/4/6,5,女性,4,1,1,4
183,2017/3/2,40,女性,2,0,0,1
184,2017/3/26,16,男性,3,0,0,5
185,2017/3/20,22,男性,2,1,0,3
186,2017/4/8,3,女性,2,0,0,3
187,2017/3/25,17,女性,1,1,1,3
188,2017/1/19,82,女性,2,2,0,3
189,2017/4/4,7,男性,3,1,0,5
190,2017/4/11,0,男性,2,3,1,4
191,2017/1/12,89,女性,4,2,1,1
192,2017/3/31,11,男性,1,1,2,2
193,2017/2/9,61,男性,4,1,1,1
194,2017/2/16,54,女性,1,2,1,1
195,2017/4/3,8,女性,1,2,0,3
196,2017/3/12,30,女性,1,0,1,2
197,2017/3/9,33,女性,6,1,0,5
198,2017/3/19,23,女性,5,1,0,4
199,2017/3/29,13,女性,1,2,0,2
200,2017/4/3,8,男性,1,0,0,4
201,2017/4/7,4,男性,3,4,0,4
202,2017/4/4,7,男性,4,1,0,7
203,2017/3/3,39,男性,3,0,0,3
204,2017/3/5,37,女性,3,1,1,5
205,2017/3/22,20,女性,2,2,0,3
206,2017/3/25,17,女性,1,0,0,4
207,2017/3/3,39,女性,0,1,1,2
208,2017/2/17,53,男性,5,1,0,3
209,2017/4/7,4,男性,2,1,1,2
210,2017/4/8,3,女性,7,0,2,4
211,2017/2/24,46,女性,2,0,0,3
212,2017/4/4,7,女性,3,3,0,1
213,2017/3/12,30,男性,6,1,1,2
214,2017/3/22,20,女性,3,1,0,5
215,2017/4/9,2,男性,6,1,0,4
216,2017/1/29,72,男性,3,3,2,1
217,2017/2/26,44,女性,3,1,0,2
218,2017/4/8,3,男性,3,0,1,5
219,2017/4/6,5,女性,1,2,0,5
220,2017/2/27,43,女性,5,0,0,6
221,2017/4/2,9,男性,3,0,0,3
222,2017/2/26,44,女性,5,2,0,2
223,2017/3/27,15,女性,1,4,1,2
224,2017/3/28,14,女性,5,1,2,4
225,2017/4/2,9,女性,0,1,1,6
226,2017/2/1,69,女性,2,1,0,1
227,2017/3/1,41,女性,4,3,2,3
228,2017/4/4,7,女性,3,2,1,2
229,2017/4/1,10,女性,3,1,1,6
230,2017/4/1,10,女性,2,1,0,7
231,2017/3/21,21,女性,3,1,1,1
232,2017/3/6,36,男性,2,0,1,4
233,2017/3/18,24,男性,2,0,1,2
234,2017/4/4,7,女性,2,1,0,5
235,2017/4/6,5,女性,2,0,1,3
236,2017/3/20,22,女性,3,2,1,1
237,2017/4/7,4,男性,6,2,0,3
238,2017/3/29,13,女性,3,1,0,1
239,2017/3/23,19,女性,2,3,1,2
240,2017/3/27,15,女性,1,2,0,2
241,2017/1/30,71,男性,6,2,1,1
243,2017/3/30,12,男性,1,0,0,3
244,2017/3/7,35,女性,2,3,0,5
245,2017/2/10,60,女性,2,0,1,1
246,2017/3/15,27,男性,4,4,0,3
247,2017/3/14,28,女性,4,0,0,2
248,2017/4/3,8,女性,4,1,0,4
249,2017/2/18,52,女性,3,2,0,1
250,2017/2/4,66,女性,2,0,2,3
251,2017/3/26,16,男性,8,1,0,3
252,2017/3/31,11,女性,7,0,1,2
253,2017/4/8,3,女性,1,1,0,7
254,2017/4/7,4,女性,1,0,0,3
255,2017/3/6,36,男性,0,0,1,1
256,2017/4/4,7,男性,7,3,1,3
257,2017/3/17,25,女性,4,1,0,1
258,2017/3/18,24,女性,1,2,3,2
259,2017/2/19,51,女性,6,1,0,1
260,2017/3/12,30,女性,0,0,4,1
261,2017/1/28,73,男性,1,2,2,1
262,2017/3/29,13,男性,0,1,0,2
263,2017/2/27,43,女性,1,0,0,4
264,2017/3/30,12,男性,1,2,0,6
265,2017/3/13,29,女性,4,2,0,2
266,2017/3/18,24,男性,2,2,2,2
267,2017/4/5,6,女性,2,2,0,4
268,2017/3/13,29,男性,4,3,1,4
270,2017/3/16,26,男性,6,1,2,4
271,2017/1/13,88,女性,2,1,0,1
272,2017/3/30,12,男性,4,3,0,5
273,2017/3/8,34,女性,3,1,0,2
274,2017/3/28,14,男性,2,1,0,6
275,2017/3/28,14,女性,2,1,0,4
276,2017/3/20,22,男性,1,3,1,4
277,2017/2/19,51,女性,4,1,0,2
278,2017/2/8,62,男性,0,1,1,1
279,2017/3/21,21,男性,0,3,1,3
280,2017/3/24,18,女性,2,1,0,6
281,2017/3/27,15,女性,2,0,0,7
282,2017/3/12,30,女性,4,2,1,2
283,2017/4/8,3,男性,2,0,0,4
284,2017/3/3,39,女性,3,0,0,3
285,2017/1/21,80,男性,2,2,1,2
286,2017/3/23,19,女性,3,1,1,3
288,2017/3/14,28,男性,3,0,1,4
289,2017/4/6,5,女性,5,1,0,4
290,2017/4/11,0,女性,2,0,0,5
291,2017/3/10,32,女性,5,1,0,2
292,2017/3/25,17,女性,1,2,1,4
293,2017/4/11,0,女性,1,3,1,4
294,2017/3/24,18,女性,2,1,0,8
295,2017/3/22,20,女性,2,1,1,4
296,2017/3/13,29,男性,1,2,0,4
297,2017/4/8,3,女性,4,1,1,2
298,2017/3/21,21,女性,1,2,0,3
299,2017/1/27,74,女性,2,0,0,1
300,2017/2/3,67,男性,1,0,0,2
